location,name,category,price,cost,utility,quantity,total,total_utility,Year,Month,Day_name,Day,Hour,sale_timestamp
Financial District,Iced Mocha,Coffee,5.19,2.71,2.48,3,15.57,7.44,2024,January,Wednesday,10,14,2024-01-10 14:41:00
Downtown,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,March,Monday,4,2,2024-03-04 02:26:00
University District,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,February,Wednesday,7,20,2024-02-07 20:21:00
Downtown,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,February,Monday,12,22,2024-02-12 22:55:00
University District,Mocha,Coffee,2.7,1.41,1.29,5,13.5,6.45,2024,March,Friday,8,20,2024-03-08 20:55:00
Financial District,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,March,Monday,4,18,2024-03-04 18:22:00
Downtown,Iced Latte,Coffee,4.71,2.46,2.25,2,9.42,4.5,2024,April,Sunday,14,19,2024-04-14 19:31:00
Financial District,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,February,Tuesday,20,5,2024-02-20 05:52:00
Downtown,Cheesecake,Bakery,2.82,1.47,1.35,2,5.64,2.7,2024,April,Friday,12,12,2024-04-12 12:20:00
University District,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,March,Monday,25,13,2024-03-25 13:40:00
Mall,Brownie,Bakery,2.96,1.55,1.41,2,5.92,2.82,2024,February,Wednesday,28,17,2024-02-28 17:41:00
Mall,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,March,Saturday,23,17,2024-03-23 17:56:00
Suburbs,Wrap,Food,4.36,2.28,2.08,3,13.08,6.24,2024,January,Wednesday,24,4,2024-01-24 04:25:00
Suburbs,Iced Mocha,Coffee,5.19,2.71,2.48,2,10.38,4.96,2024,April,Thursday,18,3,2024-04-18 03:16:00
Financial District,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,January,Thursday,4,21,2024-01-04 21:59:00
Downtown,Flat White,Coffee,2.7,1.41,1.29,4,10.8,5.16,2024,February,Friday,23,13,2024-02-23 13:52:00
Suburbs,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,January,Monday,15,7,2024-01-15 07:00:00
University District,Latte,Coffee,6.28,3.28,3.0,7,43.96,21.0,2024,March,Saturday,9,6,2024-03-09 06:24:00
Mall,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,January,Friday,19,17,2024-01-19 17:34:00
Downtown,Sandwich,Food,2.83,1.48,1.35,3,8.49,4.05,2024,March,Tuesday,19,15,2024-03-19 15:42:00
Mall,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,February,Saturday,3,1,2024-02-03 01:32:00
Downtown,Muffin,Bakery,5.75,3.0,2.75,5,28.75,13.75,2024,April,Thursday,18,5,2024-04-18 05:13:00
Suburbs,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,January,Monday,8,10,2024-01-08 10:21:00
Suburbs,Wrap,Food,4.36,2.28,2.08,3,13.08,6.24,2024,January,Monday,15,11,2024-01-15 11:02:00
Financial District,Bagel,Bakery,2.09,1.09,1.0,1,2.09,1.0,2024,January,Thursday,11,9,2024-01-11 09:30:00
Downtown,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,March,Friday,1,5,2024-03-01 05:28:00
University District,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,January,Thursday,25,21,2024-01-25 21:27:00
Suburbs,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,January,Wednesday,17,1,2024-01-17 01:03:00
Financial District,Espresso,Coffee,3.69,1.93,1.76,2,7.38,3.52,2024,March,Sunday,24,19,2024-03-24 19:46:00
Suburbs,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,February,Monday,12,5,2024-02-12 05:07:00
Mall,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,April,Friday,12,18,2024-04-12 18:56:00
Suburbs,Sandwich,Food,2.83,1.48,1.35,2,5.66,2.7,2024,January,Thursday,11,9,2024-01-11 09:34:00
Downtown,Bagel,Bakery,2.09,1.09,1.0,1,2.09,1.0,2024,February,Friday,2,15,2024-02-02 15:04:00
Financial District,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,February,Friday,2,13,2024-02-02 13:33:00
Downtown,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,April,Friday,19,7,2024-04-19 07:06:00
University District,Flat White,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,January,Sunday,21,17,2024-01-21 17:32:00
University District,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,January,Thursday,4,10,2024-01-04 10:33:00
Suburbs,Smoothie,Food,3.94,2.06,1.88,4,15.76,7.52,2024,February,Friday,23,7,2024-02-23 07:33:00
Financial District,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,January,Saturday,20,18,2024-01-20 18:08:00
Financial District,Croissant,Bakery,6.36,3.32,3.04,2,12.72,6.08,2024,January,Tuesday,23,1,2024-01-23 01:31:00
Financial District,Bagel,Bakery,2.09,1.09,1.0,3,6.27,3.0,2024,February,Monday,5,19,2024-02-05 19:10:00
Financial District,Brownie,Bakery,2.96,1.55,1.41,2,5.92,2.82,2024,February,Thursday,8,10,2024-02-08 10:58:00
Suburbs,Sandwich,Food,2.83,1.48,1.35,2,5.66,2.7,2024,February,Saturday,17,7,2024-02-17 07:24:00
Downtown,Espresso,Coffee,3.69,1.93,1.76,2,7.38,3.52,2024,February,Monday,19,22,2024-02-19 22:12:00
Suburbs,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,April,Sunday,14,23,2024-04-14 23:01:00
Downtown,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,January,Thursday,11,4,2024-01-11 04:55:00
Mall,Latte,Coffee,6.28,3.28,3.0,2,12.56,6.0,2024,April,Monday,15,10,2024-04-15 10:55:00
Mall,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,January,Monday,1,23,2024-01-01 23:23:00
Downtown,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,March,Friday,15,2,2024-03-15 02:15:00
Suburbs,Mocha,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,April,Saturday,20,16,2024-04-20 16:39:00
University District,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,February,Saturday,17,2,2024-02-17 02:21:00
Suburbs,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,April,Sunday,7,4,2024-04-07 04:14:00
University District,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,January,Monday,8,22,2024-01-08 22:30:00
Suburbs,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,April,Wednesday,24,15,2024-04-24 15:29:00
Financial District,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,April,Wednesday,24,9,2024-04-24 09:18:00
Financial District,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,January,Sunday,21,2,2024-01-21 02:02:00
Mall,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,April,Tuesday,9,0,2024-04-09 00:55:00
Mall,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,March,Monday,4,22,2024-03-04 22:59:00
Downtown,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,April,Thursday,18,18,2024-04-18 18:25:00
University District,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,February,Sunday,11,17,2024-02-11 17:32:00
Financial District,Wrap,Food,4.36,2.28,2.08,2,8.72,4.16,2024,February,Tuesday,20,18,2024-02-20 18:34:00
Suburbs,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,January,Monday,15,18,2024-01-15 18:23:00
Downtown,Smoothie,Food,3.94,2.06,1.88,4,15.76,7.52,2024,February,Thursday,22,22,2024-02-22 22:04:00
Suburbs,Croissant,Bakery,6.36,3.32,3.04,3,19.08,9.12,2024,February,Tuesday,27,6,2024-02-27 06:18:00
Financial District,Bagel,Bakery,2.09,1.09,1.0,3,6.27,3.0,2024,April,Tuesday,9,12,2024-04-09 12:24:00
Financial District,Latte,Coffee,6.28,3.28,3.0,4,25.12,12.0,2024,April,Sunday,7,8,2024-04-07 08:04:00
Financial District,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,April,Wednesday,24,19,2024-04-24 19:06:00
Financial District,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,January,Monday,29,2,2024-01-29 02:42:00
Suburbs,Croissant,Bakery,6.36,3.32,3.04,2,12.72,6.08,2024,April,Saturday,13,14,2024-04-13 14:29:00
Downtown,Iced Latte,Coffee,4.71,2.46,2.25,4,18.84,9.0,2024,April,Wednesday,24,2,2024-04-24 02:50:00
Financial District,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,March,Thursday,21,19,2024-03-21 19:57:00
Mall,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,February,Sunday,11,0,2024-02-11 00:57:00
Downtown,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,March,Saturday,2,13,2024-03-02 13:11:00
Mall,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,January,Saturday,13,17,2024-01-13 17:02:00
Suburbs,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,February,Thursday,22,14,2024-02-22 14:42:00
Financial District,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,January,Monday,29,10,2024-01-29 10:14:00
Downtown,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,February,Friday,23,1,2024-02-23 01:59:00
Financial District,Latte,Coffee,6.28,3.28,3.0,2,12.56,6.0,2024,January,Tuesday,30,11,2024-01-30 11:26:00
Financial District,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,February,Monday,19,17,2024-02-19 17:55:00
Downtown,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,January,Friday,19,2,2024-01-19 02:36:00
Financial District,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,March,Saturday,16,7,2024-03-16 07:43:00
Financial District,Wrap,Food,4.36,2.28,2.08,3,13.08,6.24,2024,February,Friday,2,8,2024-02-02 08:18:00
University District,Bagel,Bakery,2.09,1.09,1.0,3,6.27,3.0,2024,April,Sunday,7,18,2024-04-07 18:38:00
University District,Sandwich,Food,2.83,1.48,1.35,3,8.49,4.05,2024,February,Monday,5,7,2024-02-05 07:45:00
Downtown,Salad,Food,3.37,1.76,1.61,2,6.74,3.22,2024,February,Thursday,22,3,2024-02-22 03:16:00
Downtown,Mocha,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,March,Saturday,23,23,2024-03-23 23:11:00
Financial District,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,January,Saturday,6,15,2024-01-06 15:02:00
Mall,Bagel,Bakery,2.09,1.09,1.0,2,4.18,2.0,2024,January,Tuesday,9,20,2024-01-09 20:34:00
Downtown,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,April,Friday,26,10,2024-04-26 10:44:00
Financial District,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,April,Wednesday,24,4,2024-04-24 04:35:00
Mall,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,March,Thursday,21,8,2024-03-21 08:22:00
University District,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,April,Sunday,14,0,2024-04-14 00:59:00
Downtown,Sandwich,Food,2.83,1.48,1.35,2,5.66,2.7,2024,March,Tuesday,5,20,2024-03-05 20:11:00
Financial District,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,April,Thursday,25,14,2024-04-25 14:26:00
University District,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,February,Monday,12,0,2024-02-12 00:04:00
Suburbs,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,January,Tuesday,30,22,2024-01-30 22:04:00
University District,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,April,Monday,22,14,2024-04-22 14:45:00
Financial District,Cheesecake,Bakery,2.82,1.47,1.35,2,5.64,2.7,2024,January,Friday,5,23,2024-01-05 23:39:00
Mall,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,April,Wednesday,24,19,2024-04-24 19:50:00
Suburbs,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,February,Thursday,1,19,2024-02-01 19:33:00
Suburbs,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,March,Tuesday,12,9,2024-03-12 09:36:00
Suburbs,Tea,Drink,3.31,1.73,1.58,3,9.93,4.74,2024,March,Tuesday,12,6,2024-03-12 06:06:00
Downtown,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,March,Thursday,21,18,2024-03-21 18:51:00
Financial District,Cold Brew,Coffee,5.9,3.08,2.82,6,35.4,16.92,2024,March,Saturday,16,21,2024-03-16 21:04:00
Suburbs,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,February,Sunday,18,13,2024-02-18 13:42:00
University District,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,March,Thursday,7,8,2024-03-07 08:19:00
Mall,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,January,Sunday,14,17,2024-01-14 17:08:00
Financial District,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,March,Saturday,2,14,2024-03-02 14:08:00
University District,Cheesecake,Bakery,2.82,1.47,1.35,3,8.46,4.05,2024,February,Thursday,22,4,2024-02-22 04:07:00
Downtown,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,January,Sunday,7,18,2024-01-07 18:22:00
Suburbs,Brownie,Bakery,2.96,1.55,1.41,2,5.92,2.82,2024,January,Wednesday,3,8,2024-01-03 08:51:00
University District,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,February,Monday,26,22,2024-02-26 22:42:00
Financial District,Brownie,Bakery,2.96,1.55,1.41,2,5.92,2.82,2024,January,Saturday,27,17,2024-01-27 17:04:00
University District,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,March,Monday,18,19,2024-03-18 19:47:00
Downtown,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,January,Sunday,21,14,2024-01-21 14:58:00
Mall,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,March,Wednesday,27,8,2024-03-27 08:39:00
Suburbs,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,March,Saturday,16,23,2024-03-16 23:36:00
Financial District,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,February,Thursday,22,18,2024-02-22 18:51:00
Suburbs,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,April,Monday,22,15,2024-04-22 15:00:00
Suburbs,Muffin,Bakery,5.75,3.0,2.75,4,23.0,11.0,2024,February,Wednesday,28,14,2024-02-28 14:00:00
Suburbs,Cheesecake,Bakery,2.82,1.47,1.35,6,16.92,8.1,2024,February,Monday,19,12,2024-02-19 12:16:00
University District,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,February,Wednesday,28,3,2024-02-28 03:02:00
University District,Smoothie,Food,3.94,2.06,1.88,4,15.76,7.52,2024,March,Sunday,31,2,2024-03-31 02:50:00
Mall,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,February,Friday,2,17,2024-02-02 17:33:00
Downtown,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,January,Thursday,18,11,2024-01-18 11:40:00
Financial District,Latte,Coffee,6.28,3.28,3.0,2,12.56,6.0,2024,April,Sunday,28,5,2024-04-28 05:46:00
University District,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,April,Tuesday,9,17,2024-04-09 17:17:00
Suburbs,Flat White,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,April,Monday,29,6,2024-04-29 06:26:00
Downtown,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,April,Sunday,7,5,2024-04-07 05:14:00
Financial District,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,March,Thursday,21,14,2024-03-21 14:08:00
Financial District,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,April,Thursday,25,5,2024-04-25 05:18:00
Financial District,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,March,Thursday,14,16,2024-03-14 16:17:00
Financial District,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,February,Friday,16,15,2024-02-16 15:33:00
Mall,Brownie,Bakery,2.96,1.55,1.41,2,5.92,2.82,2024,January,Wednesday,10,15,2024-01-10 15:56:00
Financial District,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,April,Monday,22,11,2024-04-22 11:58:00
Downtown,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,January,Tuesday,30,19,2024-01-30 19:41:00
University District,Cold Brew,Coffee,5.9,3.08,2.82,2,11.8,5.64,2024,February,Sunday,11,20,2024-02-11 20:54:00
Downtown,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,January,Sunday,14,16,2024-01-14 16:04:00
Suburbs,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,March,Tuesday,12,1,2024-03-12 01:08:00
Mall,Sandwich,Food,2.83,1.48,1.35,3,8.49,4.05,2024,April,Friday,12,19,2024-04-12 19:18:00
Mall,Smoothie,Food,3.94,2.06,1.88,2,7.88,3.76,2024,February,Wednesday,21,9,2024-02-21 09:31:00
Suburbs,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,March,Tuesday,5,14,2024-03-05 14:09:00
Downtown,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,January,Thursday,25,10,2024-01-25 10:06:00
Downtown,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,February,Tuesday,6,23,2024-02-06 23:44:00
Suburbs,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,January,Wednesday,3,9,2024-01-03 09:46:00
Financial District,Smoothie,Food,3.94,2.06,1.88,3,11.82,5.64,2024,January,Tuesday,16,5,2024-01-16 05:02:00
Financial District,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,February,Sunday,11,12,2024-02-11 12:45:00
University District,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,April,Thursday,4,17,2024-04-04 17:55:00
Downtown,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,March,Monday,11,11,2024-03-11 11:10:00
Downtown,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,February,Sunday,11,5,2024-02-11 05:57:00
Suburbs,Brownie,Bakery,2.96,1.55,1.41,2,5.92,2.82,2024,January,Tuesday,2,11,2024-01-02 11:34:00
Suburbs,Iced Latte,Coffee,4.71,2.46,2.25,2,9.42,4.5,2024,March,Friday,22,4,2024-03-22 04:44:00
Financial District,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,February,Thursday,15,5,2024-02-15 05:26:00
Downtown,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,January,Monday,29,17,2024-01-29 17:39:00
Downtown,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,March,Monday,4,20,2024-03-04 20:18:00
Mall,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,February,Thursday,29,10,2024-02-29 10:49:00
University District,Flat White,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,January,Saturday,27,4,2024-01-27 04:43:00
University District,Americano,Coffee,4.69,2.45,2.24,3,14.07,6.72,2024,April,Monday,29,14,2024-04-29 14:38:00
Financial District,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,March,Sunday,3,0,2024-03-03 00:12:00
Downtown,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,February,Thursday,29,5,2024-02-29 05:50:00
Mall,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,March,Saturday,2,22,2024-03-02 22:10:00
Downtown,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,January,Saturday,6,0,2024-01-06 00:49:00
Suburbs,Tea,Drink,3.31,1.73,1.58,4,13.24,6.32,2024,January,Wednesday,3,15,2024-01-03 15:16:00
Financial District,Brownie,Bakery,2.96,1.55,1.41,2,5.92,2.82,2024,April,Sunday,14,3,2024-04-14 03:50:00
University District,Bagel,Bakery,2.09,1.09,1.0,5,10.45,5.0,2024,January,Saturday,13,21,2024-01-13 21:24:00
Downtown,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,March,Wednesday,6,12,2024-03-06 12:02:00
Financial District,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,March,Saturday,23,13,2024-03-23 13:55:00
University District,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,March,Monday,4,13,2024-03-04 13:09:00
Downtown,Iced Latte,Coffee,4.71,2.46,2.25,2,9.42,4.5,2024,March,Friday,29,6,2024-03-29 06:49:00
Mall,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,February,Tuesday,6,22,2024-02-06 22:13:00
Financial District,Americano,Coffee,4.69,2.45,2.24,3,14.07,6.72,2024,March,Sunday,31,3,2024-03-31 03:49:00
Downtown,Cold Brew,Coffee,5.9,3.08,2.82,2,11.8,5.64,2024,March,Saturday,23,6,2024-03-23 06:53:00
University District,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,April,Monday,8,22,2024-04-08 22:22:00
University District,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,February,Friday,9,7,2024-02-09 07:47:00
Mall,Brownie,Bakery,2.96,1.55,1.41,2,5.92,2.82,2024,April,Monday,22,12,2024-04-22 12:22:00
Financial District,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,April,Sunday,14,15,2024-04-14 15:12:00
Financial District,Sandwich,Food,2.83,1.48,1.35,2,5.66,2.7,2024,February,Friday,23,19,2024-02-23 19:18:00
Downtown,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,January,Wednesday,10,17,2024-01-10 17:32:00
University District,Sandwich,Food,2.83,1.48,1.35,2,5.66,2.7,2024,April,Monday,22,8,2024-04-22 08:14:00
University District,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,February,Saturday,3,10,2024-02-03 10:56:00
Mall,Cappuccino,Coffee,5.29,2.76,2.53,3,15.87,7.59,2024,January,Monday,8,4,2024-01-08 04:26:00
Mall,Bagel,Bakery,2.09,1.09,1.0,2,4.18,2.0,2024,April,Thursday,11,1,2024-04-11 01:00:00
Financial District,Brownie,Bakery,2.96,1.55,1.41,2,5.92,2.82,2024,January,Thursday,4,23,2024-01-04 23:55:00
University District,Wrap,Food,4.36,2.28,2.08,4,17.44,8.32,2024,January,Friday,5,8,2024-01-05 08:43:00
Downtown,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,February,Sunday,4,1,2024-02-04 01:16:00
Suburbs,Sandwich,Food,2.83,1.48,1.35,4,11.32,5.4,2024,April,Monday,1,22,2024-04-01 22:49:00
Downtown,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,March,Friday,29,4,2024-03-29 04:26:00
Mall,Mocha,Coffee,2.7,1.41,1.29,3,8.1,3.87,2024,March,Saturday,16,16,2024-03-16 16:31:00
Downtown,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,February,Tuesday,13,17,2024-02-13 17:28:00
University District,Croissant,Bakery,6.36,3.32,3.04,3,19.08,9.12,2024,April,Monday,15,12,2024-04-15 12:09:00
Financial District,Espresso,Coffee,3.69,1.93,1.76,4,14.76,7.04,2024,March,Thursday,14,0,2024-03-14 00:10:00
Suburbs,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,January,Saturday,20,4,2024-01-20 04:40:00
Financial District,Iced Latte,Coffee,4.71,2.46,2.25,3,14.13,6.75,2024,April,Saturday,27,17,2024-04-27 17:07:00
Suburbs,Americano,Coffee,4.69,2.45,2.24,2,9.38,4.48,2024,March,Monday,18,5,2024-03-18 05:53:00
Suburbs,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,January,Friday,12,6,2024-01-12 06:14:00
University District,Salad,Food,3.37,1.76,1.61,3,10.11,4.83,2024,April,Monday,29,20,2024-04-29 20:44:00
University District,Latte,Coffee,6.28,3.28,3.0,2,12.56,6.0,2024,January,Friday,19,10,2024-01-19 10:11:00
Mall,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,January,Thursday,25,20,2024-01-25 20:52:00
Mall,Cold Brew,Coffee,5.9,3.08,2.82,3,17.7,8.46,2024,February,Saturday,10,22,2024-02-10 22:08:00
Suburbs,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,February,Wednesday,14,8,2024-02-14 08:43:00
Mall,Cheesecake,Bakery,2.82,1.47,1.35,2,5.64,2.7,2024,February,Wednesday,28,10,2024-02-28 10:33:00
University District,Cold Brew,Coffee,5.9,3.08,2.82,2,11.8,5.64,2024,March,Sunday,24,13,2024-03-24 13:25:00
Mall,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,March,Thursday,14,10,2024-03-14 10:51:00
Suburbs,Croissant,Bakery,6.36,3.32,3.04,2,12.72,6.08,2024,January,Tuesday,30,16,2024-01-30 16:54:00
Financial District,Brownie,Bakery,2.96,1.55,1.41,2,5.92,2.82,2024,April,Monday,22,14,2024-04-22 14:42:00
Downtown,Cheesecake,Bakery,2.82,1.47,1.35,3,8.46,4.05,2024,January,Friday,26,13,2024-01-26 13:29:00
Mall,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,February,Friday,16,19,2024-02-16 19:45:00
University District,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,April,Wednesday,17,17,2024-04-17 17:32:00
Financial District,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,January,Monday,8,0,2024-01-08 00:11:00
University District,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,April,Sunday,14,5,2024-04-14 05:51:00
Mall,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,January,Wednesday,31,1,2024-01-31 01:29:00
Suburbs,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,January,Wednesday,3,13,2024-01-03 13:58:00
Downtown,Flat White,Coffee,2.7,1.41,1.29,4,10.8,5.16,2024,April,Tuesday,16,5,2024-04-16 05:51:00
Downtown,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,February,Thursday,22,5,2024-02-22 05:54:00
Financial District,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,January,Wednesday,24,21,2024-01-24 21:18:00
Downtown,Americano,Coffee,4.69,2.45,2.24,2,9.38,4.48,2024,January,Monday,15,21,2024-01-15 21:24:00
Suburbs,Macchiato,Coffee,2.26,1.18,1.08,4,9.04,4.32,2024,February,Saturday,3,8,2024-02-03 08:51:00
University District,Americano,Coffee,4.69,2.45,2.24,2,9.38,4.48,2024,March,Wednesday,27,3,2024-03-27 03:53:00
