location,comment,rating,feedback_date
Suburbs,Very clean,4,2024-03-08
Downtown,Tasty food,3,2024-04-09
Downtown,Tasty food,2,2024-02-09
Mall,Loved the croissant,5,2024-04-03
Suburbs,Tasty food,3,2024-03-04
Mall,Loved the croissant,4,2024-02-21
Suburbs,Wifi was slow,3,2024-02-12
Downtown,Too noisy,4,2024-04-14
Financial District,Will come again,4,2024-03-02
University District,Wifi was slow,2,2024-02-24
Financial District,Too noisy,2,2024-03-18
Suburbs,Coffee was cold,5,2024-02-11
Mall,Not impressed,5,2024-02-28
Mall,Coffee was cold,3,2024-02-17
Downtown,Excellent staff,4,2024-02-15
Downtown,Wifi was slow,5,2024-02-22
Financial District,Excellent staff,4,2024-04-29
Financial District,Friendly barista,4,2024-03-04
University District,Bad experience,1,2024-01-20
Suburbs,Wifi was slow,4,2024-01-29
Financial District,Very clean,5,2024-04-15
Financial District,Excellent staff,4,2024-02-23
Downtown,Needs more vegan options,5,2024-02-22
Suburbs,Tasty food,5,2024-03-30
Downtown,Very clean,4,2024-03-23
University District,Will come again,4,2024-01-08
Financial District,Needs more vegan options,5,2024-04-11
Financial District,Wifi was slow,3,2024-01-20
Financial District,Too noisy,4,2024-03-05
Mall,Too noisy,4,2024-03-20
Suburbs,Needs more vegan options,4,2024-02-27
Downtown,Loved the croissant,4,2024-03-05
Downtown,Wifi was slow,4,2024-02-04
Downtown,Coffee was cold,5,2024-01-08
University District,Too noisy,5,2024-01-08
Mall,Bad experience,4,2024-03-06
University District,Line was too long,4,2024-01-28
Suburbs,Line was too long,5,2024-04-04
Downtown,Tasty food,3,2024-02-13
Downtown,Too noisy,3,2024-01-16
Downtown,Line was too long,4,2024-03-15
Financial District,Excellent staff,2,2024-04-22
Financial District,Bad experience,5,2024-03-04
Downtown,Tasty food,5,2024-03-18
Downtown,Wifi was slow,4,2024-02-06
Financial District,Line was too long,2,2024-02-02
University District,Line was too long,3,2024-01-08
Mall,Line was too long,2,2024-04-14
University District,Line was too long,3,2024-02-03
Mall,Not impressed,5,2024-01-13
Financial District,Line was too long,4,2024-04-16
Downtown,Great service!,3,2024-01-16
Downtown,Too noisy,4,2024-02-05
Downtown,Will come again,5,2024-02-23
University District,Will come again,1,2024-04-12
Downtown,Bad experience,4,2024-03-25
Mall,Great service!,3,2024-03-21
Downtown,Great service!,4,2024-02-08
Financial District,Needs more vegan options,3,2024-04-28
Downtown,Great service!,5,2024-02-22
University District,Friendly barista,5,2024-02-03
University District,Great service!,4,2024-01-18
Financial District,Line was too long,1,2024-02-10
Suburbs,Very clean,5,2024-04-14
University District,Coffee was cold,4,2024-04-16
Suburbs,Line was too long,4,2024-04-09
Financial District,Line was too long,5,2024-02-05
Downtown,Best coffee ever,4,2024-04-28
Suburbs,Best coffee ever,2,2024-01-05
Financial District,Bad experience,2,2024-01-28
Suburbs,Coffee was cold,3,2024-02-18
Suburbs,Too noisy,2,2024-03-09
Downtown,Bad experience,5,2024-03-08
University District,Wifi was slow,1,2024-01-03
Suburbs,Wifi was slow,5,2024-02-02
Mall,Bad experience,2,2024-02-26
Downtown,Line was too long,5,2024-02-21
Mall,Line was too long,3,2024-03-07
Downtown,Friendly barista,4,2024-03-12
Downtown,Tasty food,3,2024-01-23
University District,Excellent staff,2,2024-03-10
Mall,Great service!,4,2024-01-27
Suburbs,Coffee was cold,5,2024-03-26
Downtown,Tasty food,3,2024-02-03
Mall,Needs more vegan options,5,2024-03-05
Mall,Too noisy,4,2024-04-25
University District,Line was too long,4,2024-02-05
Mall,Too noisy,4,2024-03-31
Suburbs,Excellent staff,5,2024-01-09
Mall,Great service!,3,2024-04-17
University District,Best coffee ever,2,2024-04-24
Downtown,Excellent staff,5,2024-01-25
Mall,Needs more vegan options,5,2024-03-18
Mall,Coffee was cold,1,2024-01-18
Financial District,Line was too long,2,2024-04-22
Suburbs,Very clean,5,2024-04-28
Suburbs,Very clean,4,2024-03-22
Suburbs,Tasty food,4,2024-04-22
Mall,Bad experience,5,2024-01-27
Suburbs,Line was too long,3,2024-01-09
Suburbs,Excellent staff,3,2024-03-16
Financial District,Friendly barista,5,2024-02-25
University District,Needs more vegan options,4,2024-04-24
University District,Tasty food,3,2024-02-16
Downtown,Very clean,5,2024-03-22
Financial District,Will come again,5,2024-02-18
Mall,Very clean,2,2024-01-14
Downtown,Friendly barista,3,2024-03-14
Suburbs,Line was too long,4,2024-03-24
Downtown,Too noisy,2,2024-01-22
University District,Needs more vegan options,4,2024-02-28
Downtown,Needs more vegan options,3,2024-02-03
Downtown,Best coffee ever,4,2024-02-17
Financial District,Very clean,4,2024-04-11
Suburbs,Too noisy,5,2024-03-09
Mall,Not impressed,4,2024-01-30
Mall,Excellent staff,4,2024-01-01
Financial District,Too noisy,5,2024-01-26
Financial District,Coffee was cold,5,2024-03-11
Mall,Coffee was cold,5,2024-01-07
Downtown,Best coffee ever,1,2024-04-18
Suburbs,Too noisy,4,2024-01-05
Mall,Very clean,4,2024-03-24
Downtown,Friendly barista,5,2024-04-23
Downtown,Friendly barista,1,2024-03-04
University District,Not impressed,5,2024-04-01
Financial District,Too noisy,2,2024-01-23
Mall,Not impressed,4,2024-01-08
Mall,Line was too long,4,2024-02-16
Suburbs,Wifi was slow,3,2024-03-20
Mall,Friendly barista,3,2024-02-10
Downtown,Excellent staff,4,2024-02-17
Downtown,Loved the croissant,3,2024-03-10
Suburbs,Best coffee ever,4,2024-03-15
Downtown,Coffee was cold,3,2024-03-17
Downtown,Too noisy,1,2024-03-06
Mall,Needs more vegan options,2,2024-02-18
Financial District,Best coffee ever,2,2024-01-02
Mall,Bad experience,4,2024-03-03
University District,Line was too long,3,2024-01-13
Suburbs,Very clean,5,2024-03-23
Downtown,Too noisy,1,2024-02-02
Mall,Line was too long,4,2024-04-10
Mall,Very clean,2,2024-04-28
Downtown,Excellent staff,5,2024-01-25
Suburbs,Best coffee ever,1,2024-04-21
Mall,Loved the croissant,2,2024-04-11
Financial District,Will come again,3,2024-04-19
Downtown,Line was too long,2,2024-04-13
Suburbs,Friendly barista,5,2024-03-22
University District,Best coffee ever,2,2024-01-29
Downtown,Loved the croissant,2,2024-02-06
University District,Too noisy,2,2024-03-15
Downtown,Too noisy,5,2024-04-18
Mall,Great service!,4,2024-02-10
Suburbs,Tasty food,5,2024-04-20
Financial District,Excellent staff,4,2024-04-18
University District,Tasty food,5,2024-03-27
University District,Best coffee ever,5,2024-03-27
Downtown,Loved the croissant,4,2024-02-04
University District,Not impressed,3,2024-01-03
Downtown,Not impressed,3,2024-02-16
Downtown,Excellent staff,3,2024-03-02
University District,Excellent staff,3,2024-01-18
University District,Great service!,4,2024-02-26
Mall,Wifi was slow,2,2024-02-21
Mall,Too noisy,3,2024-03-13
Mall,Best coffee ever,3,2024-02-17
Suburbs,Great service!,5,2024-01-20
Financial District,Great service!,4,2024-03-28
Mall,Friendly barista,5,2024-03-21
Mall,Line was too long,4,2024-04-18
Downtown,Coffee was cold,4,2024-01-12
Financial District,Wifi was slow,1,2024-02-02
University District,Line was too long,1,2024-03-10
Suburbs,Great service!,3,2024-04-03
University District,Wifi was slow,2,2024-03-10
Downtown,Best coffee ever,3,2024-02-17
Suburbs,Line was too long,4,2024-01-23
Mall,Great service!,4,2024-02-15
Financial District,Very clean,4,2024-01-07
Financial District,Very clean,4,2024-01-26
Mall,Wifi was slow,2,2024-03-07
University District,Wifi was slow,2,2024-02-26
University District,Friendly barista,1,2024-01-25
Mall,Great service!,5,2024-03-07
Mall,Friendly barista,3,2024-03-19
Financial District,Great service!,4,2024-02-08
University District,Best coffee ever,4,2024-03-08
Suburbs,Friendly barista,5,2024-02-07
Suburbs,Best coffee ever,4,2024-02-14
Downtown,Coffee was cold,2,2024-04-27
Downtown,Excellent staff,5,2024-03-04
Downtown,Wifi was slow,3,2024-03-25
University District,Not impressed,5,2024-02-23
Suburbs,Friendly barista,4,2024-04-03
University District,Tasty food,4,2024-03-11
Mall,Will come again,4,2024-01-13
Financial District,Friendly barista,3,2024-02-19
Downtown,Loved the croissant,4,2024-02-12
Mall,Not impressed,5,2024-01-07
Mall,Not impressed,4,2024-03-27
Financial District,Coffee was cold,5,2024-02-13
Suburbs,Very clean,3,2024-03-04
Suburbs,Best coffee ever,2,2024-01-07
Mall,Loved the croissant,5,2024-01-10
Financial District,Friendly barista,4,2024-03-18
Suburbs,Bad experience,5,2024-03-09
Downtown,Wifi was slow,1,2024-03-02
University District,Line was too long,4,2024-01-19
Financial District,Coffee was cold,1,2024-04-10
Mall,Line was too long,4,2024-02-02
University District,Best coffee ever,4,2024-03-02
Suburbs,Loved the croissant,4,2024-04-26
Suburbs,Great service!,4,2024-03-18
Financial District,Bad experience,3,2024-03-07
University District,Needs more vegan options,4,2024-01-07
Suburbs,Great service!,5,2024-01-30
Financial District,Not impressed,4,2024-03-31
University District,Friendly barista,4,2024-02-05
Mall,Great service!,5,2024-04-11
Mall,Bad experience,2,2024-04-27
Suburbs,Best coffee ever,4,2024-03-15
Financial District,Not impressed,4,2024-04-16
Downtown,Not impressed,4,2024-04-09
Suburbs,Wifi was slow,4,2024-01-16
Downtown,Not impressed,4,2024-03-21
University District,Will come again,5,2024-01-19
Financial District,Too noisy,4,2024-02-04
Suburbs,Too noisy,3,2024-02-07
Mall,Very clean,2,2024-02-27
University District,Will come again,5,2024-02-25
University District,Tasty food,3,2024-03-03
University District,Friendly barista,4,2024-02-17
Downtown,Friendly barista,1,2024-04-18
Downtown,Needs more vegan options,5,2024-03-06
University District,Loved the croissant,5,2024-04-27
Suburbs,Very clean,4,2024-04-12
Downtown,Tasty food,4,2024-03-03
Financial District,Will come again,4,2024-03-31
Mall,Too noisy,4,2024-02-28
Suburbs,Line was too long,4,2024-02-20
Financial District,Not impressed,3,2024-03-05
Downtown,Friendly barista,3,2024-03-06
Mall,Great service!,3,2024-04-26
University District,Too noisy,1,2024-04-22
Mall,Will come again,3,2024-02-21
University District,Will come again,5,2024-03-19
Financial District,Needs more vegan options,4,2024-04-27
Financial District,Coffee was cold,3,2024-03-05
Suburbs,Not impressed,4,2024-03-10
Financial District,Loved the croissant,1,2024-01-30
Downtown,Will come again,3,2024-02-13
Downtown,Tasty food,4,2024-04-29
Mall,Loved the croissant,4,2024-03-04
University District,Will come again,3,2024-03-31
Mall,Very clean,3,2024-03-21
Suburbs,Best coffee ever,1,2024-02-09
Suburbs,Very clean,3,2024-03-28
Downtown,Friendly barista,5,2024-02-28
Suburbs,Excellent staff,4,2024-02-19
Downtown,Great service!,3,2024-04-24
University District,Loved the croissant,4,2024-03-26
Mall,Great service!,5,2024-01-15
Suburbs,Friendly barista,4,2024-04-29
University District,Not impressed,2,2024-04-18
Suburbs,Bad experience,4,2024-01-21
Financial District,Very clean,5,2024-03-31
Suburbs,Tasty food,4,2024-01-16
University District,Tasty food,4,2024-02-16
Suburbs,Best coffee ever,3,2024-03-18
Financial District,Too noisy,4,2024-03-08
Suburbs,Bad experience,4,2024-04-25
University District,Wifi was slow,5,2024-03-28
Downtown,Too noisy,1,2024-03-17
University District,Great service!,4,2024-01-05
Downtown,Needs more vegan options,3,2024-04-13
Downtown,Too noisy,5,2024-02-02
Mall,Great service!,1,2024-04-18
University District,Excellent staff,3,2024-04-10
Mall,Excellent staff,5,2024-03-12
Downtown,Coffee was cold,3,2024-02-25
Suburbs,Very clean,5,2024-02-08
Downtown,Coffee was cold,4,2024-03-23
University District,Line was too long,5,2024-01-10
University District,Coffee was cold,5,2024-04-15
University District,Excellent staff,4,2024-02-08
University District,Tasty food,4,2024-03-23
Suburbs,Line was too long,3,2024-01-31
Mall,Friendly barista,2,2024-04-27
Financial District,Coffee was cold,4,2024-03-18
Mall,Coffee was cold,4,2024-03-29
Downtown,Excellent staff,5,2024-01-08
University District,Too noisy,1,2024-01-04
University District,Loved the croissant,5,2024-04-20
Financial District,Too noisy,2,2024-01-05
Mall,Coffee was cold,5,2024-02-05
Downtown,Coffee was cold,3,2024-04-17
University District,Too noisy,3,2024-01-06
Financial District,Tasty food,5,2024-02-29
Financial District,Best coffee ever,4,2024-04-03
Downtown,Loved the croissant,4,2024-04-13
Financial District,Not impressed,5,2024-04-11
Financial District,Line was too long,3,2024-04-10
Mall,Great service!,2,2024-04-14
University District,Not impressed,4,2024-02-24
Mall,Loved the croissant,4,2024-03-23
Financial District,Best coffee ever,5,2024-04-15
Suburbs,Too noisy,1,2024-02-12
Downtown,Coffee was cold,4,2024-03-22
Financial District,Wifi was slow,4,2024-01-21
Financial District,Wifi was slow,5,2024-04-10
Mall,Bad experience,4,2024-02-29
Downtown,Wifi was slow,5,2024-02-12
University District,Excellent staff,1,2024-02-23
Downtown,Friendly barista,4,2024-03-21
Financial District,Needs more vegan options,5,2024-01-31
Mall,Bad experience,5,2024-03-25
Suburbs,Coffee was cold,3,2024-04-28
Financial District,Friendly barista,5,2024-03-15
Downtown,Line was too long,5,2024-03-01
Downtown,Tasty food,5,2024-03-20
Suburbs,Excellent staff,4,2024-03-13
Downtown,Line was too long,4,2024-04-24
Downtown,Friendly barista,5,2024-01-23
Mall,Coffee was cold,5,2024-04-12
Downtown,Bad experience,3,2024-01-23
University District,Excellent staff,4,2024-02-21
Suburbs,Wifi was slow,4,2024-01-03
Financial District,Needs more vegan options,5,2024-02-18
Suburbs,Best coffee ever,4,2024-03-10
Financial District,Line was too long,4,2024-01-20
Mall,Wifi was slow,3,2024-03-19
Downtown,Line was too long,5,2024-04-19
Financial District,Friendly barista,3,2024-01-30
Financial District,Coffee was cold,3,2024-02-01
Mall,Will come again,5,2024-04-29
Suburbs,Great service!,4,2024-03-10
Suburbs,Best coffee ever,3,2024-01-31
Suburbs,Not impressed,4,2024-01-16
Downtown,Will come again,3,2024-01-29
Mall,Friendly barista,3,2024-01-22
Financial District,Tasty food,2,2024-02-09
Suburbs,Not impressed,4,2024-01-28
Suburbs,Coffee was cold,4,2024-03-19
Suburbs,Coffee was cold,2,2024-03-25
University District,Tasty food,4,2024-01-08
Downtown,Coffee was cold,3,2024-03-05
Suburbs,Will come again,3,2024-01-30
University District,Very clean,5,2024-02-27
Mall,Friendly barista,2,2024-01-02
Financial District,Great service!,4,2024-01-24
Suburbs,Coffee was cold,4,2024-02-18
Downtown,Excellent staff,5,2024-03-09
Suburbs,Line was too long,2,2024-01-12
Downtown,Bad experience,5,2024-01-05
University District,Best coffee ever,5,2024-04-07
Downtown,Bad experience,5,2024-01-14
Mall,Needs more vegan options,2,2024-03-16
Downtown,Friendly barista,3,2024-01-27
Financial District,Great service!,3,2024-03-06
University District,Best coffee ever,4,2024-02-18
Downtown,Friendly barista,2,2024-04-09
Suburbs,Wifi was slow,5,2024-02-14
Mall,Not impressed,4,2024-02-07
Financial District,Wifi was slow,5,2024-03-07
Downtown,Line was too long,3,2024-02-27
Downtown,Needs more vegan options,4,2024-04-09
Financial District,Wifi was slow,5,2024-03-12
Financial District,Bad experience,2,2024-03-06
Downtown,Too noisy,4,2024-04-14
Suburbs,Needs more vegan options,4,2024-04-15
Suburbs,Needs more vegan options,4,2024-02-23
Suburbs,Needs more vegan options,4,2024-01-29
Downtown,Very clean,1,2024-04-18
University District,Will come again,4,2024-03-29
Downtown,Wifi was slow,4,2024-04-22
University District,Too noisy,4,2024-01-04
Suburbs,Wifi was slow,2,2024-02-24
Downtown,Needs more vegan options,4,2024-01-10
Suburbs,Too noisy,3,2024-02-13
Downtown,Line was too long,3,2024-03-21
Suburbs,Great service!,3,2024-03-05
Financial District,Very clean,4,2024-01-03
Downtown,Not impressed,4,2024-03-02
University District,Tasty food,4,2024-04-11
Suburbs,Friendly barista,2,2024-04-03
Mall,Wifi was slow,3,2024-01-05
University District,Will come again,2,2024-02-13
Mall,Best coffee ever,3,2024-01-11
Suburbs,Great service!,2,2024-04-26
Downtown,Will come again,5,2024-03-13
Downtown,Too noisy,5,2024-02-16
Downtown,Bad experience,4,2024-01-14
Mall,Needs more vegan options,3,2024-01-19
Suburbs,Friendly barista,3,2024-01-13
Financial District,Not impressed,5,2024-01-21
Downtown,Friendly barista,2,2024-03-03
Suburbs,Great service!,4,2024-02-08
Financial District,Very clean,3,2024-04-16
Financial District,Tasty food,4,2024-03-06
Suburbs,Line was too long,4,2024-01-30
Downtown,Very clean,1,2024-01-23
Downtown,Very clean,3,2024-03-04
University District,Loved the croissant,4,2024-01-27
Suburbs,Coffee was cold,5,2024-01-01
Financial District,Line was too long,3,2024-03-11
Mall,Great service!,2,2024-03-06
Mall,Will come again,5,2024-01-23
Downtown,Excellent staff,5,2024-04-04
University District,Tasty food,5,2024-04-24
Mall,Tasty food,2,2024-01-29
Downtown,Bad experience,5,2024-01-14
University District,Too noisy,4,2024-02-29
Mall,Very clean,4,2024-02-12
Financial District,Wifi was slow,4,2024-01-05
Mall,Great service!,4,2024-03-15
Mall,Coffee was cold,2,2024-04-19
Mall,Wifi was slow,3,2024-04-14
Mall,Too noisy,4,2024-02-02
Downtown,Will come again,3,2024-04-02
Suburbs,Will come again,2,2024-03-10
Financial District,Excellent staff,4,2024-01-07
Suburbs,Friendly barista,4,2024-02-14
Downtown,Tasty food,1,2024-01-10
Mall,Loved the croissant,4,2024-03-24
University District,Line was too long,5,2024-03-13
University District,Very clean,5,2024-01-17
Suburbs,Too noisy,5,2024-04-09
University District,Great service!,3,2024-04-19
Suburbs,Will come again,2,2024-01-06
Financial District,Coffee was cold,4,2024-02-24
University District,Too noisy,5,2024-01-01
Mall,Tasty food,3,2024-01-11
Downtown,Needs more vegan options,3,2024-04-16
Financial District,Tasty food,4,2024-01-17
University District,Loved the croissant,4,2024-02-26
University District,Loved the croissant,5,2024-02-08
Suburbs,Coffee was cold,4,2024-03-13
Financial District,Friendly barista,4,2024-01-16
Downtown,Coffee was cold,4,2024-02-22
Downtown,Great service!,5,2024-03-31
Suburbs,Excellent staff,3,2024-04-14
Suburbs,Great service!,2,2024-01-05
Suburbs,Will come again,3,2024-04-11
University District,Excellent staff,4,2024-01-08
Financial District,Tasty food,4,2024-03-13
Downtown,Tasty food,2,2024-02-27
Mall,Great service!,3,2024-01-13
Downtown,Wifi was slow,4,2024-01-03
Financial District,Not impressed,5,2024-01-27
Suburbs,Bad experience,2,2024-02-19
University District,Loved the croissant,4,2024-04-10
Downtown,Coffee was cold,2,2024-02-23
Mall,Very clean,4,2024-02-25
University District,Line was too long,3,2024-01-20
Downtown,Loved the croissant,2,2024-04-06
Financial District,Friendly barista,4,2024-01-13
Downtown,Too noisy,2,2024-04-25
Mall,Will come again,5,2024-03-28
University District,Friendly barista,5,2024-02-19
Downtown,Too noisy,4,2024-04-15
Mall,Loved the croissant,4,2024-03-28
Downtown,Line was too long,2,2024-03-24
Downtown,Very clean,3,2024-01-27
Suburbs,Not impressed,2,2024-01-18
Mall,Line was too long,3,2024-01-28
Downtown,Loved the croissant,4,2024-04-09
University District,Great service!,4,2024-04-06
Financial District,Loved the croissant,4,2024-02-27
Suburbs,Not impressed,4,2024-02-01
Suburbs,Great service!,3,2024-01-07
Suburbs,Wifi was slow,5,2024-01-15
Financial District,Excellent staff,4,2024-03-18
Mall,Tasty food,4,2024-02-04
University District,Excellent staff,3,2024-02-21
Financial District,Loved the croissant,2,2024-04-24
University District,Tasty food,3,2024-02-09
University District,Best coffee ever,4,2024-04-04
Suburbs,Needs more vegan options,3,2024-04-24
Downtown,Friendly barista,2,2024-04-28
University District,Great service!,4,2024-02-19
University District,Line was too long,4,2024-04-04
University District,Tasty food,1,2024-03-30
University District,Bad experience,5,2024-03-29
Suburbs,Needs more vegan options,4,2024-04-19
University District,Best coffee ever,4,2024-03-10
Downtown,Bad experience,5,2024-04-24
Mall,Not impressed,4,2024-01-27
Mall,Great service!,3,2024-02-01
University District,Coffee was cold,4,2024-01-12
Suburbs,Coffee was cold,2,2024-02-29
Downtown,Bad experience,3,2024-04-20
Downtown,Great service!,3,2024-01-30
University District,Great service!,2,2024-01-24
Suburbs,Very clean,2,2024-03-28
Mall,Coffee was cold,5,2024-03-26
Financial District,Will come again,3,2024-01-04
University District,Excellent staff,3,2024-03-23
University District,Excellent staff,3,2024-03-29
University District,Wifi was slow,4,2024-01-05
Suburbs,Coffee was cold,4,2024-01-04
Financial District,Not impressed,5,2024-04-02
Suburbs,Loved the croissant,4,2024-01-09
University District,Needs more vegan options,3,2024-04-28
Financial District,Tasty food,4,2024-02-20
Downtown,Line was too long,2,2024-04-11
Downtown,Friendly barista,4,2024-02-09
Financial District,Line was too long,3,2024-02-22
University District,Line was too long,5,2024-04-07
Suburbs,Best coffee ever,4,2024-03-12
University District,Very clean,4,2024-03-15
Financial District,Needs more vegan options,3,2024-04-07
University District,Will come again,2,2024-04-19
University District,Excellent staff,3,2024-04-05
Downtown,Coffee was cold,4,2024-02-01
Mall,Not impressed,4,2024-02-18
Suburbs,Bad experience,1,2024-01-05
University District,Excellent staff,4,2024-02-01
Downtown,Very clean,1,2024-01-05
Mall,Bad experience,2,2024-04-05
Downtown,Friendly barista,4,2024-03-05
University District,Excellent staff,4,2024-03-10
Suburbs,Great service!,3,2024-04-12
Mall,Loved the croissant,4,2024-01-25
University District,Best coffee ever,1,2024-01-27
Financial District,Wifi was slow,3,2024-04-19
University District,Very clean,5,2024-03-18
Downtown,Great service!,4,2024-04-21
University District,Wifi was slow,5,2024-03-13
Financial District,Very clean,2,2024-01-28
Financial District,Wifi was slow,5,2024-04-23
University District,Tasty food,4,2024-03-28
Financial District,Tasty food,2,2024-03-03
Downtown,Excellent staff,1,2024-03-13
Financial District,Bad experience,1,2024-02-05
Financial District,Will come again,4,2024-04-12
Suburbs,Not impressed,3,2024-04-10
Downtown,Bad experience,2,2024-04-22
Financial District,Excellent staff,4,2024-04-15
University District,Excellent staff,4,2024-02-25
Financial District,Will come again,4,2024-02-03
Mall,Line was too long,2,2024-03-07
Mall,Coffee was cold,3,2024-01-21
Downtown,Will come again,2,2024-02-08
Mall,Very clean,3,2024-02-06
Mall,Not impressed,3,2024-02-11
Financial District,Too noisy,5,2024-02-05
Downtown,Tasty food,5,2024-03-06
Suburbs,Excellent staff,5,2024-01-17
Financial District,Not impressed,4,2024-04-24
Suburbs,Wifi was slow,5,2024-02-23
University District,Friendly barista,3,2024-04-14
Mall,Loved the croissant,2,2024-01-29
Financial District,Wifi was slow,4,2024-01-25
Downtown,Loved the croissant,4,2024-01-21
Mall,Line was too long,4,2024-01-19
University District,Tasty food,4,2024-01-29
Mall,Great service!,3,2024-01-03
Mall,Very clean,5,2024-04-12
Suburbs,Friendly barista,5,2024-03-16
University District,Excellent staff,2,2024-02-24
Downtown,Loved the croissant,4,2024-04-17
Mall,Tasty food,4,2024-02-20
Mall,Not impressed,4,2024-03-30
Downtown,Too noisy,3,2024-02-08
Downtown,Will come again,4,2024-01-31
Financial District,Best coffee ever,3,2024-03-12
Financial District,Excellent staff,4,2024-02-04
Mall,Needs more vegan options,2,2024-03-09
Financial District,Not impressed,2,2024-01-27
Mall,Wifi was slow,3,2024-01-26
Downtown,Tasty food,5,2024-01-27
Financial District,Tasty food,5,2024-01-13
University District,Not impressed,4,2024-04-29
University District,Loved the croissant,3,2024-01-23
Downtown,Bad experience,3,2024-03-05
Mall,Excellent staff,4,2024-04-23
University District,Coffee was cold,3,2024-04-01
Financial District,Coffee was cold,4,2024-04-27
Suburbs,Excellent staff,4,2024-03-19
Mall,Excellent staff,2,2024-03-17
Financial District,Line was too long,5,2024-04-13
Mall,Wifi was slow,5,2024-03-09
Financial District,Friendly barista,2,2024-04-12
Downtown,Friendly barista,5,2024-03-30
Downtown,Very clean,4,2024-04-20
Downtown,Too noisy,2,2024-03-11
Downtown,Line was too long,4,2024-04-08
Financial District,Great service!,5,2024-04-22
University District,Will come again,5,2024-01-22
Financial District,Excellent staff,4,2024-04-26
Financial District,Loved the croissant,4,2024-03-13
Suburbs,Great service!,3,2024-01-01
Suburbs,Excellent staff,4,2024-01-15
Financial District,Great service!,4,2024-02-22
Downtown,Will come again,2,2024-04-03
Suburbs,Loved the croissant,3,2024-03-07
Suburbs,Best coffee ever,3,2024-03-10
Financial District,Loved the croissant,5,2024-04-04
Mall,Loved the croissant,4,2024-01-05
Suburbs,Tasty food,3,2024-03-08
Downtown,Loved the croissant,3,2024-02-25
Financial District,Bad experience,2,2024-01-25
Mall,Bad experience,1,2024-03-15
University District,Very clean,4,2024-03-02
Downtown,Tasty food,1,2024-02-12
Downtown,Very clean,5,2024-01-14
Financial District,Loved the croissant,5,2024-03-29
University District,Coffee was cold,5,2024-04-22
Downtown,Excellent staff,5,2024-02-21
Downtown,Will come again,4,2024-01-27
Financial District,Will come again,2,2024-04-02
Downtown,Needs more vegan options,4,2024-02-21
Mall,Coffee was cold,3,2024-04-14
University District,Best coffee ever,3,2024-01-01
Suburbs,Great service!,4,2024-02-15
Suburbs,Too noisy,3,2024-01-05
University District,Needs more vegan options,4,2024-03-02
Mall,Very clean,1,2024-02-25
Financial District,Friendly barista,4,2024-03-04
Financial District,Great service!,5,2024-01-21
Suburbs,Bad experience,3,2024-04-13
Downtown,Not impressed,4,2024-04-10
University District,Excellent staff,4,2024-04-07
Mall,Friendly barista,4,2024-03-06
Financial District,Needs more vegan options,2,2024-04-29
University District,Coffee was cold,5,2024-02-14
Downtown,Great service!,4,2024-04-24
Suburbs,Needs more vegan options,4,2024-02-29
Downtown,Line was too long,5,2024-01-18
Mall,Too noisy,2,2024-01-15
Suburbs,Bad experience,4,2024-02-15
Downtown,Too noisy,4,2024-02-02
Mall,Coffee was cold,5,2024-04-25
Mall,Bad experience,1,2024-01-11
Mall,Coffee was cold,4,2024-02-20
University District,Excellent staff,5,2024-04-02
Mall,Coffee was cold,4,2024-01-29
Financial District,Will come again,4,2024-01-08
Mall,Bad experience,5,2024-03-05
Downtown,Not impressed,5,2024-01-30
Financial District,Coffee was cold,4,2024-04-16
Suburbs,Wifi was slow,4,2024-02-22
Financial District,Tasty food,3,2024-03-14
Downtown,Friendly barista,3,2024-01-06
Suburbs,Line was too long,4,2024-02-14
Downtown,Very clean,1,2024-03-03
Downtown,Loved the croissant,5,2024-01-01
University District,Too noisy,5,2024-01-09
University District,Not impressed,3,2024-02-19
Downtown,Needs more vegan options,4,2024-02-21
Mall,Bad experience,3,2024-02-24
University District,Best coffee ever,4,2024-04-16
Downtown,Great service!,4,2024-01-16
Financial District,Too noisy,4,2024-01-03
Downtown,Great service!,5,2024-02-11
Downtown,Coffee was cold,5,2024-01-02
Suburbs,Wifi was slow,4,2024-02-29
University District,Line was too long,4,2024-03-12
Suburbs,Coffee was cold,1,2024-04-03
Mall,Needs more vegan options,3,2024-01-18
Downtown,Tasty food,5,2024-03-01
University District,Loved the croissant,5,2024-02-28
University District,Wifi was slow,5,2024-01-03
University District,Tasty food,2,2024-01-06
Downtown,Bad experience,4,2024-04-18
Downtown,Will come again,2,2024-04-24
Financial District,Bad experience,5,2024-04-19
Suburbs,Great service!,4,2024-04-27
Suburbs,Not impressed,5,2024-01-13
Downtown,Bad experience,4,2024-01-15
Mall,Best coffee ever,2,2024-03-26
University District,Best coffee ever,4,2024-03-23
Downtown,Friendly barista,5,2024-04-23
Downtown,Line was too long,2,2024-02-13
Downtown,Line was too long,5,2024-01-08
University District,Tasty food,4,2024-03-18
University District,Excellent staff,2,2024-03-27
Downtown,Needs more vegan options,4,2024-01-25
Financial District,Excellent staff,2,2024-02-02
Suburbs,Bad experience,3,2024-03-05
Financial District,Tasty food,2,2024-03-05
Financial District,Too noisy,4,2024-01-17
Downtown,Too noisy,3,2024-04-26
University District,Very clean,3,2024-03-22
Suburbs,Bad experience,4,2024-02-21
Financial District,Great service!,2,2024-03-29
Mall,Wifi was slow,4,2024-01-15
University District,Not impressed,4,2024-02-20
University District,Friendly barista,5,2024-03-02
